id,atr1,atr2,atr3,atr4,opis,datum_prip,kategorija,pluzenje,dolzina1,z_enota,z_opis,z_kategori,z_dolzina,z_plocniki,zelenice_1,ime,geometry
37330302.0,11.0,,,032314,Cesta na OstroĹľno â€“ ul. her,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,223.0,,,,,,,,"LINESTRING (519516.53 123213.59, 519510.94 123218.7, 519507.38 123221.96, 519505.23 123223.97, 519503 123226.09, 519500.15 123228.9, 519497.76 123231.22, 519495.35 123233.58, 519492.96 123235.96, 519490.55 123238.36, 519488.12 123240.79, 519485.67 123243.25, 519481.92 123247.05, 519479.33 123249.7, 519476.77 123252.38, 519474.27 123255.1, 519471.76 123257.85, 519468.5 123261.4, 519462.39 123268.47, 519460.34 123270.77, 519456.23 123275.38, 519449.8 123282.25, 519448.09 123283.99, 519442.93 123289.24, 519435.61 123296.49, 519427.97 123303.81, 519420.07 123310.93, 519407.78 123321.06, 519399.23 123327.68, 519390.56 123334.09, 519382.92 123339.57, 519373.37 123346.42, 519364.87 123352.27, 519356.35 123357.94, 519351.14 123361.34)"
37330088.0,13.0,,,032653,Cesta na OstroĹľno - do mostu,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,5.0,,,,,,,,"LINESTRING (519457.73 123150.55, 519455.49 123155.26)"
37330091.0,10.0,,,532215,Ulica Zofke Kvedrove do HĹ  2,2022/06/04 00:00:00.000,javna pot,SKLOP2,62.0,PEZ 1,Ulica Zofke Kvedrove do HŠ 2,javna pot,62.0,,,,"LINESTRING (519457.73 123150.55, 519460.4 123151.96, 519463.41 123153.18, 519466.95 123154.25, 519470.68 123154.99, 519477.76 123155.99, 519482.91 123156.76, 519488.56 123157.52, 519495.67 123158.47, 519503.06 123159.47, 519510.37 123160.45, 519518.04 123161.55)"
37330086.0,13.0,,,032653,Cesta na OstroĹľno - do mostu,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,138.0,,,,,,,,"LINESTRING (519517.21 123025.75, 519513.53 123033.39, 519509.82 123041.19, 519505.13 123051.03, 519500.6 123060.53, 519495.98 123070.23, 519490.4 123081.95, 519484.6 123094.12, 519479.75 123104.31, 519475.72 123112.77, 519471.74 123121.11, 519468.14 123128.68, 519464.29 123136.76, 519461.17 123143.3, 519457.73 123150.55)"
37329755.0,11.0,,,032313,ÄŚopova ulica â€“ Cesta na Ost,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,35.0,,,,,,,,"LINESTRING (519516.53 123213.59, 519515.6 123212.24, 519514.48 123210.04, 519513.64 123207.23, 519513.45 123204.85, 519513.72 123201.93, 519514.39 123199.38, 519515.6 123196.94, 519517.36 123194.69, 519519.2 123192.99, 519521.5 123191.6, 519523.98 123190.61, 519526.48 123190.18, 519529.3 123190.12, 519530.39 123190.25)"
37329757.0,11.0,,,032313,ÄŚopova ulica â€“ Cesta na Ost,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,22.0,,,,,,,,"LINESTRING (519536.69 123216.2, 519534.43 123217.59, 519531.91 123218.55, 519529.3 123219.06, 519526.59 123219.02, 519523.98 123218.56, 519521.51 123217.52, 519519.2 123216.18, 519517.26 123214.41, 519516.53 123213.59)"
37329756.0,11.0,,,032313,ÄŚopova ulica â€“ Cesta na Ost,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,34.0,,,,,,,,"LINESTRING (519530.39 123190.25, 519532.11 123190.64, 519534.43 123191.58, 519536.78 123193.1, 519538.69 123194.8, 519540.37 123196.99, 519541.51 123199.34, 519542.19 123201.91, 519542.49 123204.59, 519542.19 123207.24, 519541.51 123209.84, 519540.33 123212.21, 519538.69 123214.38, 519536.69 123216.2)"
37330351.0,11.0,,,032334,severna vezna cesta,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,396.0,,,,,,,,"LINESTRING (519876.34 123391.89, 519870.49 123390.23, 519865.01 123388.88, 519859.14 123387.45, 519853.23 123385.94, 519847.28 123384.41, 519841.13 123382.72, 519834.17 123380.87, 519827.72 123379.12, 519824.78 123378.32, 519821.18 123377.31, 519818.2 123376.49, 519815.78 123375.83, 519812.19 123374.85, 519808.6 123373.9, 519804.99 123372.96, 519801.37 123372.03, 519798.95 123371.4, 519796.53 123370.76, 519794.09 123370.11, 519791.05 123369.31, 519788.62 123368.67, 519786.18 123368.02, 519783.73 123367.37, 519781.28 123366.72, 519778.83 123366.08, 519776.37 123365.43, 519773.91 123364.77, 519770.86 123363.96, 519768.4 123363.3, 519765.93 123362.64, 519763.46 123362, 519760.42 123361.2, 519757.95 123360.55, 519755.49 123359.89, 519753.04 123359.23, 519750.06 123358.44, 519746.48 123357.49, 519742.91 123356.55, 519739.99 123355.77, 519736.44 123354.81, 519732.9 123353.83, 519730 123353.05, 519726.48 123352.11, 519723.6 123351.32, 519720.1 123350.34, 519717.27 123349.56, 519713.81 123348.58, 519711.04 123347.77, 519708.26 123346.98, 519705.49 123346.2, 519702.74 123345.43, 519699.27 123344.41, 519696.37 123343.53, 519693.98 123342.8, 519690.38 123341.68, 519687.43 123340.73, 519682.68 123339.19, 519679.14 123338, 519675.62 123336.8, 519672.13 123335.56, 519668.7 123334.23, 519665.33 123332.83, 519661.98 123331.4, 519657.56 123329.46, 519654.28 123327.97, 519651.04 123326.45, 519648.4 123325.15, 519645.24 123323.57, 519642.1 123321.95, 519639.53 123320.58, 519636.44 123318.87, 519633.4 123317.09, 519630.92 123315.58, 519626.84 123313.04, 519624.33 123311.41, 519621.28 123309.41, 519618.27 123307.35, 519615.84 123305.64, 519612.94 123303.55, 519610.09 123301.43, 519606.83 123298.93, 519604.05 123296.77, 519601.29 123294.56, 519598.54 123292.29, 519595.41 123289.59, 519591.83 123286.41, 519589.67 123284.38, 519587.06 123281.86, 519584.92 123279.79, 519582.34 123277.24, 519580.26 123275.12, 519577.77 123272.51, 519574.97 123269.45, 519572.61 123266.76, 519570.74 123264.56, 519568.51 123261.87, 519566.05 123258.84, 519564.36 123256.68, 519562.32 123254.02, 519560.71 123251.85, 519559.15 123249.73, 519557.07 123246.84, 519554.57 123243.3, 519552.46 123240.29, 519550.9 123238, 519549.37 123235.77, 519547.43 123232.94, 519545.64 123230.3, 519544.17 123228.08, 519542.54 123225.61, 519541.24 123223.39, 519539.66 123220.8, 519538.29 123218.76, 519536.69 123216.2)"
37330138.0,10.0,,,532221,Cesta v Lokrovec do HĹ  43,2022/06/04 00:00:00.000,javna pot,SKLOP2,225.0,PEZ 2,Cesta v Lokrovec do HŠ 43,javna pot,225.0,,,,"LINESTRING (519841.12 123157.09, 519839.36 123159.87, 519837.28 123163.16, 519835.19 123166.67, 519831.66 123172.95, 519828.34 123178.82, 519826.1 123182.44, 519823.55 123186.43, 519820.64 123190.59, 519816.69 123195.92, 519813.02 123200.97, 519808.42 123207.68, 519804.86 123213.08, 519801.21 123218.68, 519795.26 123228.61, 519794.24 123230.31, 519789.04 123238.79, 519786.47 123242.73, 519783.69 123246.59, 519780.48 123250.53, 519776.85 123254.42, 519772.7 123258.12, 519768.05 123261.43, 519763 123264.23, 519757.49 123266.68, 519752.64 123268.25, 519747.97 123269.5, 519743.99 123270.21, 519740.4 123270.53, 519736.96 123270.53, 519733.87 123270.21, 519730.94 123269.45, 519727.89 123268.14, 519724.83 123266.45, 519721.07 123263.84, 519716.52 123260.4, 519712.61 123257.15, 519708.05 123253.11, 519704.11 123249.55, 519700.73 123246.34, 519695.69 123241.42, 519691.24 123236.88, 519686.88 123232.24)"
37330352.0,12.0,,,032803,Cesta v Lokrovec - Bevkova ul*,2022/06/04 00:00:00.000,zbirna mestna ali krajevna cesta,SKLOP1,245.0,,,,,,,,"LINESTRING (519841.12 123157.09, 519846.27 123161.46, 519851.67 123166.64, 519856.74 123172.64, 519860.54 123178.28, 519863.58 123183.99, 519866.54 123190.68, 519869.47 123198.84, 519871.88 123207.36, 519873.88 123216.1, 519875.52 123224.87, 519876.81 123233.89, 519877.8 123243.14, 519878.64 123252.46, 519879.26 123261.67, 519879.61 123270.76, 519879.71 123283.62, 519879.59 123292.19, 519879.34 123300.04, 519879.04 123309.4, 519878.73 123318.69, 519878.62 123322.13, 519878.21 123334.99, 519877.86 123346.93, 519877.59 123356.19, 519877.3 123366.3, 519877.05 123374.81, 519876.73 123383.87, 519876.34 123391.89)"
